"","lu_rail_dlr","recorded_date","committed_date_time","source","crime_desc","victim_gender","age","diff","age_n","victim_year_of_birth","historic","futurecrimes"
"4467","National Rail",2017-02-16,2017-02-15 10:40:00,"Email to the police","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,13H 20M 0S,17,2000,0,0
"4468","National Rail",2017-02-16,2017-02-15 22:55:00,"Text message to the Police","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,1H 5M 0S,NA,NA,0,0
"4469","National Rail",2017-02-16,2017-02-16 08:00:00,"Non-emergency telephone call e.g. (101)","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-8H 0M 0S,29,1988,0,0
"4470","London Underground",2017-02-16,2017-02-16 08:29:00,"Non-emergency telephone call e.g. (101)","E20  Sexual Assault On A Male Aged 13 And Over No Penetration (E20)","Male",NA,-8H -29M 0S,30,1987,0,0
"4471","London Underground",2017-02-16,2017-02-16 13:58:00,"Non-emergency telephone call e.g. (101)","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-13H -58M 0S,25,1992,0,0
"4472","London Underground",2017-02-16,2017-02-16 16:47:00,"Email to the police","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-16H -47M 0S,38,1979,0,0
"4473","London Tramlink",2017-02-16,2017-02-16 22:42:00,"Non-emergency telephone call e.g. (101)","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-22H -42M 0S,22,1995,0,0
"4474","National Rail",2017-02-17,2017-02-17 07:47:00,"Non-emergency telephone call e.g. (101)","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-7H -47M 0S,24,1993,0,0
"4475","London Underground",2017-02-17,2017-02-17 20:00:00,"Non-emergency telephone call e.g. (101)","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-20H 0M 0S,24,1993,0,0
"4476","London Underground",2017-02-17,2017-02-17 20:30:00,"Non-emergency telephone call e.g. (101)","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,-20H -30M 0S,NA,NA,0,0
"4477","National Rail",2017-02-18,2017-02-18 19:15:00,"Other 3rd party reporting","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-19H -15M 0S,16,2001,0,0
"4478","London Underground",2017-02-18,2017-02-18 19:35:00,"Non-emergency telephone call e.g. (101)","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,-19H -35M 0S,NA,NA,0,0
"4479","London Underground",2017-02-19,2017-02-18 03:15:00,"Other 3rd party reporting","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Female",NA,20H 45M 0S,28,1989,0,0
"4480","National Rail",2017-02-19,2017-02-18 18:34:00,"Non-emergency telephone call e.g. (101)","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,5H 26M 0S,NA,NA,0,0
"4481","London Underground",2017-02-19,2017-02-19 09:50:00,"Non-emergency telephone call e.g. (101)","E41  Exposure (E41)","Female",NA,-9H -50M 0S,28,1989,0,0
"4482","National Rail",2017-02-19,2017-02-19 10:05:00,"Non-emergency telephone call e.g. (101)","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,-10H -5M 0S,NA,NA,0,0
"4483","London Underground",2017-02-19,2017-02-19 18:31:00,"Non-emergency telephone call e.g. (101)","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,-18H -31M 0S,NA,NA,0,0
"4484","London Underground",2017-02-19,2017-02-19 18:36:00,"Non-emergency telephone call e.g. (101)","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,-18H -36M 0S,NA,NA,0,0
"4485","London Underground",2017-02-20,2017-02-18 17:30:00,"Email to the police","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,1d 6H 30M 0S,24,1993,1,0
"4486","London Underground",2017-02-20,2017-02-20 09:05:00,"Non-emergency telephone call e.g. (101)","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-9H -5M 0S,30,1987,0,0
"4487","National Rail",2017-02-20,2017-02-20 10:15:00,"Non-emergency telephone call e.g. (101)","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,-10H -15M 0S,NA,NA,0,0
"4488","London Underground",2017-02-20,2017-02-20 17:15:00,"Non-emergency telephone call e.g. (101)","E20  Sexual Assault On A Male Aged 13 And Over No Penetration (E20)","Male",NA,-17H -15M 0S,24,1993,0,0
"4489","London Underground",2017-02-20,2017-02-20 20:24:00,"Non-emergency telephone call e.g. (101)","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-20H -24M 0S,22,1995,0,0
"4490","London Underground",2017-02-22,2017-02-20 19:00:00,"Non-emergency telephone call e.g. (101)","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,1d 5H 0M 0S,NA,NA,1,0
"4491","London Underground",2017-02-22,2017-02-21 14:00:00,"Non-emergency telephone call e.g. (101)","E21  Sexual Assault On A Male Child Under 13 No Penetration (E21)","Male",NA,10H 0M 0S,9,2008,0,0
